,loop_a,loop_b,best_loop,profit_bps,direction,arb,qty_eur,profit_usd
2012-01-25 09:34:15,1.0000150335901996,0.9998306567571585,1.0000150335901996,0.15033590199609037,A,True,1543090.810894221,30.068224317988207
2012-01-25 09:34:33,1.000031808752346,0.9998189857871727,1.000031808752346,0.3180875234609637,A,True,1542971.7636167258,63.61995869252804
2012-01-25 09:36:35,1.0000039703703703,0.9998081359842558,1.0000039703703703,0.039703703702542725,A,True,2000000.0,10.294852740439708
2012-01-25 09:36:36,1.0000039703703703,0.9998180111201733,1.0000039703703703,0.039703703702542725,A,True,2000000.0,10.294852740439708
2012-01-25 09:36:37,1.0000039703703703,0.9998180111201733,1.0000039703703703,0.039703703702542725,A,True,2000000.0,10.294852740439708
2012-01-25 09:36:38,1.0000039703703703,0.9998180111201733,1.0000039703703703,0.039703703702542725,A,True,3000000.0,15.442279110659562
2012-01-25 09:36:39,1.0000039703703703,0.9998257228496208,1.0000039703703703,0.039703703702542725,A,True,3000000.0,15.442219555104007
2012-01-25 09:36:40,1.0000039703703703,0.9997993597573165,1.0000039703703703,0.039703703702542725,A,True,3000000.0,15.442279110659562
2012-01-25 09:41:40,1.00000235050121,0.9997969675515339,1.00000235050121,0.023505012098912204,A,True,771515.6424796514,2.3505737478292645
2012-01-25 09:41:42,1.0000025223445757,0.9998146775112846,1.0000025223445757,0.025223445756505924,A,True,771485.8818083629,2.5224321435459047
2012-01-25 09:41:43,1.0000025223445757,0.9998146775112846,1.0000025223445757,0.025223445756505924,A,True,771485.8818083629,2.5224321435459047
2012-01-25 09:43:30,1.000017952101131,0.9998248484612134,1.000017952101131,0.17952101130980225,A,True,771473.978182716,17.952724362029656
2012-01-25 09:43:31,1.0000486415485657,0.9997830654803099,1.0000486415485657,0.4864154856565328,A,True,771479.9299496224,48.64398775425448
2012-01-25 09:43:32,1.000118078119599,0.9997929396859107,1.000118078119599,1.1807811959907433,A,True,771426.3673532362,118.07994137057167
2012-01-25 13:15:37,0.9996741908827985,1.000002737226588,1.000002737226588,0.027372265880565294,B,True,763764.8077452871,2.737125018787398
2012-01-25 13:18:47,1.0000286584070797,0.9997378345952824,1.0000286584070797,0.28658407079662496,A,True,763871.9139574675,28.659063820230504
2012-01-25 13:23:00,1.000014746362564,0.9998008301281989,1.000014746362564,0.14746362563933246,A,True,1000000.0,19.318324813255106
2012-01-25 13:23:16,1.0000061679449364,0.9997884848047822,1.0000061679449364,0.06167944936352754,A,True,763574.444690485,6.168298162737478
2012-01-25 13:23:34,1.0000065665257154,0.9997472509956181,1.0000065665257154,0.06566525715401283,A,True,763737.7324626723,6.566876772643486
2012-01-25 13:25:41,1.000023975510204,0.9997980442370483,1.000023975510204,0.23975510204055084,A,True,763994.4686800467,23.97569337562688
2012-01-25 13:27:31,1.000022455457227,0.999760225255645,1.000022455457227,0.2245545722701081,A,True,1526927.3640652914,44.912971725148374
2012-01-25 13:31:46,1.000012532178705,0.9997857991466402,1.000012532178705,0.12532178705004782,A,True,1527160.5503886624,25.065792808679216
2012-01-25 13:39:16,1.0000403875984252,0.9997783481059747,1.0000403875984252,0.40387598425173366,A,True,1000000.0,52.877261300166104
2012-01-25 13:53:16,1.0000235150013763,0.999759378981394,1.0000235150013763,0.23515001376317457,A,True,764187.1341454095,23.51509122562501
2012-01-25 14:00:40,0.999755638101231,1.0000016814187562,1.0000016814187562,0.01681418756227515,B,True,764700.0983284169,1.681364497819706
2012-01-25 14:04:13,1.000002907234143,0.9997174576890997,1.000002907234143,0.029072341429792203,A,True,999997.092774309,3.7959500486016666
2012-01-25 14:11:59,1.0000525444717445,0.9996819931161978,1.0000525444717445,0.5254447174452004,A,True,765954.8393026746,52.546484079140605
2012-01-25 14:18:53,0.9997934945305738,1.0000233523401505,1.0000233523401505,0.23352340150495365,B,True,765919.3530933666,23.350900530976272
