instrument,corr_var_spread,corr_var_depth,corr_var_impact,corr_var_n_trades,corr_acf1_spread,corr_acf1_depth,corr_acf1_n_trades
AAPL,0.8886737368820086,-0.42912659061383235,0.813260700893645,0.8486730628558372,0.1922157256888857,0.17933089429481652,-0.07364604749386727
GPRO,0.4044043410280793,-0.5552329252580479,0.07578502795485752,0.8360037270180909,0.26122417356599975,-0.19679800693509203,0.0983426004003441
EURUSD,0.2856138851683043,0.12079407876434824,0.43123381270952177,0.8269995575216054,0.055565132619047164,-0.22618761417409722,0.016863141917175375
USDJPY,0.029259579152477753,-0.06320033151584521,0.564723173040404,0.7722279457113874,0.38129461558079814,-0.24308630526454508,-0.1320742207613008
EURJPY,0.5222698000071719,-0.2513900564587448,0.5350804394254303,0.33023269926518595,-0.43526775631943837,0.3975877015800953,0.4034111359602878
