instrument,spread_open30,spread_rest,spread_lunch,spread_last30,corr_spread_depth,corr_spread_depth_2x,corr_spread_impact,corr_depth_impact,bid_2x_over_l1,ask_2x_over_l1,impact_minutes,impact_open30,impact_rest,zero_trade_minutes
AAPL,0.03848277242307143,0.02534650329237962,0.024569573651503206,0.023428395225819364,-0.11043142525731561,-0.32467242089556175,0.2636538667137422,-0.031874511944064265,5.230782338874224,6.0635406034529735,390,9.281068304747209e-05,5.2806910359237506e-05,0
GPRO,0.01059234886461669,0.010003436531746233,0.010000014601674274,0.010000017942399768,-0.13374042395301686,-0.16974571304227215,0.48766987006341905,-0.20112913670272645,2.345558918210764,1.9251219299548785,51,0.0018586161803736763,0.0011610655629360927,105
EURUSD,0.00011003999255461611,0.0001136203337705572,0.00011187657605548592,0.00011864675238608725,-0.1949619637559667,-0.3861288609683797,0.18873511606790228,-0.04503514205512796,11.000442025743764,11.232945571367939,386,1.3906562487528401e-05,2.012402618712907e-05,1
USDJPY,0.008264045015665095,0.007986086003020318,0.007749396538388525,0.008954730583426135,-0.09850197091422216,-0.43414728319537205,0.19492519764688104,-0.1096699211560671,9.630875419578375,10.037293099087298,302,1.3839840571267065e-05,2.336581976055256e-05,13
EURJPY,0.016391890163928443,0.019198004590985033,0.019848407407407422,0.01915977777777778,-0.31731656494957944,-0.46836264757733537,0.30957213378702503,-0.19941933196694933,11.573151877742948,9.63588174052758,103,3.0500201103895604e-05,4.899854516311572e-05,83
