delay_s,seconds_still_profitable,share_still_profitable,seconds_gt_1tick,mean_profit_bps_if_taken,profit_usd_if_taken,share_of_frictionless_profit
0,28,1.0,13,0.1874854292997576,678.142808709473,1.0
1,8,0.2857142857142857,2,-0.6010492852055539,236.16284452567461,0.3482494269534464
2,6,0.21428571428571427,1,-0.8988943400770848,177.22400403098044,0.2613372902504758
3,4,0.14285714285714285,0,-1.0002172526791093,48.849209919969034,0.07203380953479491
5,1,0.03571428571428571,0,-1.212067091879987,15.442279110659562,0.022771426478807175
